epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,4017.61,1.90764,2.32792,1.50265,0.00408,0.28023,0.47447,0.29597,0.27425,0.14616,0.42322,0.25877,0.22623,0.10443,1.91156,2.44889,1.73318,0.00697,0,0.000461898,0.000461898,0.000461898
38,4132.59,1.90166,2.39296,1.48767,0.00408,0.28406,0.49426,0.30362,0.29048,0.15441,0.38578,0.27255,0.23201,0.11082,1.8624,2.52069,1.69154,0.00655,0,0.00045159,0.00045159,0.00045159
39,4250.02,1.90614,2.37989,1.48331,0.00414,0.28575,0.47422,0.29275,0.29442,0.15185,0.43233,0.25216,0.23189,0.11096,1.85502,2.47349,1.67966,0.00645,0,0.000441282,0.000441282,0.000441282
40,4364.1,1.88207,2.33717,1.45073,0.00395,0.27674,0.54047,0.29862,0.3052,0.15571,0.50423,0.25508,0.24367,0.11409,1.92206,2.45627,1.70003,0.00703,0,0.000430973,0.000430973,0.000430973
41,4477.73,1.91471,2.46725,1.49537,0.00404,0.27602,0.5217,0.32543,0.29636,0.15669,0.45631,0.24945,0.2243,0.10462,1.88096,2.40812,1.68524,0.00615,0,0.000420665,0.000420665,0.000420665
42,4592.88,1.88695,2.37529,1.45941,0.00396,0.26925,0.33575,0.32643,0.2981,0.16158,0.30311,0.28779,0.24841,0.11902,1.88098,2.53411,1.75945,0.00675,0,0.000410357,0.000410357,0.000410357
43,4707.27,1.8577,2.29338,1.44199,0.00404,0.26358,0.54111,0.3331,0.31654,0.16899,0.50154,0.24446,0.23514,0.11252,1.86772,2.50384,1.70749,0.00633,0,0.000400048,0.000400048,0.000400048
44,4817.72,1.84486,2.32307,1.42949,0.00397,0.27019,0.52543,0.33469,0.32002,0.17673,0.47517,0.28789,0.26253,0.12991,1.88648,2.46575,1.67087,0.00672,0,0.00038974,0.00038974,0.00038974
45,4934.29,1.87555,2.34941,1.42804,0.0039,0.26447,0.52899,0.31812,0.31193,0.15892,0.48922,0.27872,0.25039,0.11735,1.94862,2.5354,1.73516,0.00669,0,0.000379431,0.000379431,0.000379431
46,5046.61,1.85128,2.29716,1.39916,0.00388,0.26258,0.50803,0.29628,0.30943,0.17004,0.46258,0.28119,0.26308,0.13116,1.91805,2.48781,1.65967,0.00704,0,0.000369123,0.000369123,0.000369123
47,5159.42,1.86633,2.29914,1.40659,0.0038,0.27594,0.50038,0.33229,0.31354,0.16096,0.47213,0.28484,0.25432,0.11973,1.93453,2.53619,1.68949,0.00723,0,0.000358815,0.000358815,0.000358815
48,5276.26,1.87879,2.31086,1.39342,0.00374,0.26217,0.55913,0.30196,0.31186,0.16499,0.55362,0.25022,0.26161,0.1211,1.89017,2.5879,1.74048,0.00672,0,0.000348506,0.000348506,0.000348506
49,5388.56,1.83254,2.25263,1.37561,0.00376,0.25235,0.48693,0.32434,0.29643,0.15859,0.45675,0.2784,0.23665,0.10913,1.86242,2.40923,1.69564,0.00636,0,0.000338198,0.000338198,0.000338198
50,5500.5,1.83132,2.32635,1.35088,0.00368,0.2552,0.57423,0.29484,0.31109,0.16218,0.49542,0.26424,0.23916,0.10913,1.87516,2.53922,1.68383,0.00624,0,0.00032789,0.00032789,0.00032789
51,5613.43,1.85327,2.26956,1.36933,0.00389,0.24422,0.53636,0.32241,0.33653,0.17852,0.46755,0.31438,0.27152,0.12906,1.86271,2.51405,1.72226,0.00618,0,0.000317581,0.000317581,0.000317581
52,5724.21,1.84485,2.23516,1.38069,0.00377,0.24075,0.50532,0.32006,0.31217,0.16406,0.47926,0.27607,0.25809,0.12241,1.86509,2.45525,1.73106,0.00629,0,0.000307273,0.000307273,0.000307273
53,5833.41,1.83928,2.26038,1.35424,0.00368,0.24296,0.514,0.37234,0.32717,0.17495,0.52048,0.25278,0.26602,0.1298,1.87566,2.50568,1.69647,0.00622,0,0.000296964,0.000296964,0.000296964
54,5941,1.83334,2.25476,1.34511,0.0037,0.24813,0.54178,0.33661,0.32719,0.17714,0.52635,0.28113,0.27625,0.13487,1.86193,2.4415,1.70215,0.00611,0,0.000286656,0.000286656,0.000286656
55,6049.56,1.81975,2.26603,1.33791,0.00355,0.25128,0.38249,0.3226,0.30839,0.15911,0.50107,0.23469,0.24688,0.11897,1.85461,2.44271,1.73572,0.00595,0,0.000276348,0.000276348,0.000276348
56,6161.19,1.81251,2.22772,1.32627,0.00362,0.2453,0.55452,0.36613,0.33335,0.16871,0.4726,0.29671,0.25765,0.1243,1.89054,2.5281,1.6951,0.00664,0,0.000266039,0.000266039,0.000266039
57,6268.53,1.81531,2.19117,1.31933,0.00368,0.2454,0.53656,0.37207,0.3314,0.17591,0.47139,0.25817,0.25783,0.1288,1.8706,2.4482,1.6807,0.00633,0,0.000255731,0.000255731,0.000255731
58,6375.82,1.77626,2.18037,1.29778,0.00355,0.23882,0.5341,0.34767,0.34032,0.18285,0.50581,0.29926,0.27325,0.12667,1.84486,2.45853,1.66557,0.00616,0,0.000245423,0.000245423,0.000245423
59,6486.74,1.77269,2.18956,1.2777,0.00361,0.23979,0.48965,0.3097,0.29839,0.16075,0.53113,0.25442,0.26065,0.11859,1.89593,2.38273,1.73076,0.00658,0,0.000235114,0.000235114,0.000235114
60,6593.95,1.76522,2.16641,1.30649,0.00351,0.24045,0.55289,0.30589,0.32033,0.17047,0.51645,0.25527,0.26541,0.13034,1.89216,2.48679,1.69295,0.00665,0,0.000224806,0.000224806,0.000224806
