epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,8409.8,1.77437,2.20957,1.35744,0.00404,0.27327,0.58272,0.32245,0.36536,0.18219,0.6064,0.21756,0.24542,0.11501,1.82597,2.23644,1.54339,0.00553,0,0.000461898,0.000461898,0.000461898
38,8622.17,1.8021,2.22787,1.36119,0.004,0.26774,0.53437,0.35239,0.36017,0.18592,0.46888,0.29652,0.26824,0.12895,1.80741,2.28127,1.49011,0.00553,0,0.00045159,0.00045159,0.00045159
39,8834.23,1.7958,2.15797,1.33414,0.00392,0.25802,0.5437,0.32853,0.34549,0.18311,0.48396,0.24667,0.24621,0.12464,1.80386,2.1758,1.58377,0.00596,0,0.000441282,0.000441282,0.000441282
40,9046.62,1.76418,2.09923,1.30667,0.00386,0.26917,0.51826,0.36126,0.35181,0.1862,0.48109,0.26654,0.25537,0.12429,1.79489,2.34585,1.51911,0.00533,0,0.000430973,0.000430973,0.000430973
41,9259.13,1.79276,2.16478,1.30039,0.00385,0.26014,0.57759,0.3631,0.3594,0.20394,0.49705,0.24701,0.24867,0.12944,1.75601,2.21276,1.52967,0.00527,0,0.000420665,0.000420665,0.000420665
42,9471.33,1.747,2.13914,1.31376,0.00376,0.25327,0.67261,0.30263,0.36451,0.19978,0.48743,0.27128,0.26724,0.13025,1.79199,2.26193,1.59624,0.00561,0,0.000410357,0.000410357,0.000410357
43,9683.84,1.77228,2.08733,1.28274,0.00373,0.2452,0.67406,0.32215,0.38148,0.20471,0.59474,0.25204,0.26977,0.13409,1.77301,2.18712,1.46834,0.00539,0,0.000400048,0.000400048,0.000400048
44,9896.34,1.73249,2.10601,1.25192,0.00376,0.23705,0.56266,0.35533,0.3783,0.2022,0.53022,0.2575,0.26623,0.13931,1.79593,2.26974,1.55096,0.00542,0,0.00038974,0.00038974,0.00038974
45,10109,1.7422,2.14367,1.28576,0.00374,0.24823,0.64189,0.3715,0.41983,0.21168,0.56801,0.2988,0.3078,0.14695,1.77042,2.13488,1.54272,0.00534,0,0.000379431,0.000379431,0.000379431
46,10321.9,1.74413,2.08658,1.27526,0.00361,0.24646,0.68436,0.35002,0.41922,0.22242,0.49125,0.32001,0.2899,0.14574,1.78786,2.26968,1.57034,0.00561,0,0.000369123,0.000369123,0.000369123
47,10534.7,1.71743,2.05381,1.25245,0.00367,0.24495,0.66138,0.37309,0.39362,0.21412,0.52794,0.29701,0.27746,0.13785,1.73759,2.1587,1.47505,0.00552,0,0.000358815,0.000358815,0.000358815
48,10747.3,1.73179,2.08406,1.23831,0.00369,0.24416,0.59547,0.38347,0.39317,0.20657,0.51191,0.28331,0.27079,0.12492,1.7506,2.19653,1.45555,0.00527,0,0.000348506,0.000348506,0.000348506
49,10961,1.7165,2.04119,1.21252,0.00363,0.23204,0.60361,0.37404,0.40172,0.21956,0.57375,0.27314,0.2895,0.13663,1.74843,2.21605,1.46463,0.00511,0,0.000338198,0.000338198,0.000338198
50,11173.5,1.70177,2.0584,1.22196,0.00355,0.23214,0.64001,0.33771,0.38235,0.19944,0.59227,0.26405,0.28675,0.13065,1.75153,2.20406,1.56377,0.00515,0,0.00032789,0.00032789,0.00032789
51,11386.1,1.68872,2.07709,1.20548,0.00359,0.23268,0.63119,0.35237,0.39194,0.20498,0.61487,0.26037,0.28098,0.13649,1.78192,2.15984,1.46342,0.00517,0,0.000317581,0.000317581,0.000317581
